Clinical Statement Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Statement Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinical Statement,AdvanceDirectivesSection,AdvanceDirectivesSectionEntriesOptional,AllergiesSection,AllergiesSectionEntriesOptional,AnesthesiaSection,AssessmentAndPlanSection,AssessmentSection,ChiefComplaintAndReasonForVisitSection,ChiefComplaintSection,ComplicationsSection,DICOMObjectCatalogSection,DischargeDietSection,EncountersSection,EncountersSectionEntriesOptional,FamilyHistorySection,FindingsSection,FunctionalStatusSection,GeneralStatusSection,HistoryOfPastIllnessSection,HistoryOfPresentIllnessSection,HospitalAdmissionDiagnosisSection,HospitalAdmissionMedicationsSectionEntriesOptional,HospitalConsultationsSection,HospitalCourseSection,HospitalDischargeDiagnosisSection,HospitalDischargeInstructionsSection,HospitalDischargeMedicationsSection,HospitalDischargeMedicationsSectionEntriesOptional,HospitalDischargePhysicalSection,HospitalDischargeStudiesSummarySection,ImmunizationsSection,ImmunizationsSectionEntriesOptional,InstructionsSection,InterventionsSection,MedicalEquipmentSection,MedicalHistorySection,MedicationsAdministeredSection,MedicationsSection,MedicationsSectionEntriesOptional,ObjectiveSection,OperativeNoteFluidSection,OperativeNoteSurgicalProcedureSection,PayersSection,PhysicalExamSection,PlanOfCareSection,PlannedProcedureSection,PostoperativeDiagnosisSection,PostprocedureDiagnosisSection,PreoperativeDiagnosisSection,ProblemSection,ProblemSectionEntriesOptional,ProcedureDescriptionSection,ProcedureDispositionSection,ProcedureEstimatedBloodLossSection,ProcedureFindingsSection,ProcedureImplantsSection,ProcedureIndicationsSection,ProcedureSpecimensTakenSection,ProceduresSection,ProceduresSectionEntriesOptional,ReasonForReferralSection,ReasonForVisitSection,ResultsSection,ResultsSectionEntriesOptional,ReviewOfSystemsSection,SocialHistorySection,SubjectiveSection,SurgicalDrainsSection,VitalSignsSection,VitalSignsSectionEntriesOptional
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.16.840.1.113883.10.20.22.2.21.1,2.16.840.1.113883.10.20.22.2.21,2.16.840.1.113883.10.20.22.2.6.1,2.16.840.1.113883.10.20.22.2.6,2.16.840.1.113883.10.20.22.2.25,2.16.840.1.113883.10.20.22.2.9,2.16.840.1.113883.10.20.22.2.8,2.16.840.1.113883.10.20.22.2.13,1.3.6.1.4.1.19376.1.5.3.1.1.13.2.1,2.16.840.1.113883.10.20.22.2.37,2.16.840.1.113883.10.20.6.1.1,1.3.6.1.4.1.19376.1.5.3.1.3.33,2.16.840.1.113883.10.20.22.2.22.1,2.16.840.1.113883.10.20.22.2.22,2.16.840.1.113883.10.20.22.2.15,2.16.840.1.113883.10.20.6.1.2,2.16.840.1.113883.10.20.22.2.14,2.16.840.1.113883.10.20.2.5,2.16.840.1.113883.10.20.22.2.20,1.3.6.1.4.1.19376.1.5.3.1.3.4,2.16.840.1.113883.10.20.22.2.43,2.16.840.1.113883.10.20.22.2.44,2.16.840.1.113883.10.20.22.2.42,1.3.6.1.4.1.19376.1.5.3.1.3.5,2.16.840.1.113883.10.20.22.2.24,2.16.840.1.113883.10.20.22.2.41,2.16.840.1.113883.10.20.22.2.11.1,2.16.840.1.113883.10.20.22.2.11,1.3.6.1.4.1.19376.1.5.3.1.3.26,2.16.840.1.113883.10.20.22.2.16,2.16.840.1.113883.10.20.22.2.2.1,2.16.840.1.113883.10.20.22.2.2,2.16.840.1.113883.10.20.22.2.45,2.16.840.1.113883.10.20.21.2.3,2.16.840.1.113883.10.20.22.2.23,2.16.840.1.113883.10.20.22.2.39,2.16.840.1.113883.10.20.22.2.38,2.16.840.1.113883.10.20.22.2.1.1,2.16.840.1.113883.10.20.22.2.1,2.16.840.1.113883.10.20.21.2.1,2.16.840.1.113883.10.20.7.12,2.16.840.1.113883.10.20.7.14,2.16.840.1.113883.10.20.22.2.18,2.16.840.1.113883.10.20.2.10,2.16.840.1.113883.10.20.22.2.10,2.16.840.1.113883.10.20.22.2.30,2.16.840.1.113883.10.20.22.2.35,2.16.840.1.113883.10.20.22.2.36,2.16.840.1.113883.10.20.22.2.34,2.16.840.1.113883.10.20.22.2.5.1,2.16.840.1.113883.10.20.22.2.5,2.16.840.1.113883.10.20.22.2.27,2.16.840.1.113883.10.20.18.2.12,2.16.840.1.113883.10.20.18.2.9,2.16.840.1.113883.10.20.22.2.28,2.16.840.1.113883.10.20.22.2.40,2.16.840.1.113883.10.20.22.2.29,2.16.840.1.113883.10.20.22.2.31,2.16.840.1.113883.10.20.22.2.7.1,2.16.840.1.113883.10.20.22.2.7,1.3.6.1.4.1.19376.1.5.3.1.3.1,2.16.840.1.113883.10.20.22.2.12,2.16.840.1.113883.10.20.22.2.3.1,2.16.840.1.113883.10.20.22.2.3,1.3.6.1.4.1.19376.1.5.3.1.3.18,2.16.840.1.113883.10.20.22.2.17,2.16.840.1.113883.10.20.21.2.2,2.16.840.1.113883.10.20.7.13,2.16.840.1.113883.10.20.22.2.4.1,2.16.840.1.113883.10.20.22.2.4
AdmissionMedication(2.16.840.1.113883.10.20.22.4.36),,,,,,,,,,,,,,,,,,,,,,R2 (SHOULD)Ê(CONF:10110CONF:10102),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdvanceDirectiveObservation(2.16.840.1.113883.10.20.22.4.48),R (SHALL)Ê(CONF:8801CONF:8647),O (MAY)Ê(CONF:8800CONF:7957),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgeObservation(2.16.840.1.113883.10.20.22.4.31),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllergyObservation(2.16.840.1.113883.10.20.22.4.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllergyProblemAct(2.16.840.1.113883.10.20.22.4.30),,,R (SHALL)Ê(CONF:7531CONF:7532),R2 (SHOULD)(CONF:7805CONF:7804),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllergyStatusObservation(2.16.840.1.113883.10.20.22.4.28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssessmentScaleObservation(2.16.840.1.113883.10.20.22.4.69),,,,,,,,,,,,,,,,,O (MAY)Ê(CONF:14581CONF:14580),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
