Section Matrix,,,,,,,,,,
,,,,,,,,,,
Section Matrix,,,,,,,,,,
,,,,,,,,,,
Section,ConsultationNote,ContinuityOfCareDocument,DiagnosticImagingReport,DischargeSummary,GeneralHeaderConstraints,HistoryAndPhysicalNote,OperativeNote,ProcedureNote,ProgressNote,UnstructuredDocument
,,,,,,,,,,
,2.16.840.1.113883.10.20.22.1.4,2.16.840.1.113883.10.20.22.1.2,2.16.840.1.113883.10.20.22.1.5,2.16.840.1.113883.10.20.22.1.8,2.16.840.1.113883.10.20.22.1.1,2.16.840.1.113883.10.20.22.1.3,2.16.840.1.113883.10.20.22.1.7,2.16.840.1.113883.10.20.22.1.6,2.16.840.1.113883.10.20.22.1.9,2.16.840.1.113883.10.20.21.1.10
AdvanceDirectivesSection(2.16.840.1.113883.10.20.22.2.21.1),,O (MAY)Ê(CONF:9455),,,,,,,,
AdvanceDirectivesSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.21),,,,,,,,,,
AllergiesSection(2.16.840.1.113883.10.20.22.2.6.1),,R (SHALL)Ê(CONF:9445),,,,,,,,
AllergiesSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.6),O (MAY)Ê(CONF:9507),,,R (SHALL)Ê(CONF:9542),,R (SHALL)Ê(CONF:9602),,O (MAY)Ê(CONF:9809),O (MAY)Ê(CONF:8773),
AnesthesiaSection(2.16.840.1.113883.10.20.22.2.25),,,,,,,R (SHALL)Ê(CONF:9883),O (MAY)Ê(CONF:9811),,
AssessmentAndPlanSection(2.16.840.1.113883.10.20.22.2.9),O (MAY)Ê(CONF:9491),,,,,O (MAY)Ê(CONF:9987),,O (MAY)Ê(CONF:9649),O (MAY)Ê(CONF:8774),
AssessmentSection(2.16.840.1.113883.10.20.22.2.8),O (MAY)Ê(CONF:9487),,,,,O (MAY)Ê(CONF:9605),,O (MAY)Ê(CONF:9645),O (MAY)Ê(CONF:8776),
ChiefComplaintAndReasonForVisitSection(2.16.840.1.113883.10.20.22.2.13),O (MAY)Ê(CONF:10029),,,O (MAY)Ê(CONF:9556),,O (MAY)Ê(CONF:9613),,O (MAY)Ê(CONF:9815),,
ChiefComplaintSection(1.3.6.1.4.1.19376.1.5.3.1.1.13.2.1),O (MAY)Ê(CONF:9509),,,O (MAY)Ê(CONF:9554),,O (MAY)Ê(CONF:9611),,O (MAY)Ê(CONF:9813),O (MAY)Ê(CONF:8772),
ComplicationsSection(2.16.840.1.113883.10.20.22.2.37),,,,,,,R (SHALL)Ê(CONF:9885),R (SHALL)Ê(CONF:9802),,
DICOMObjectCatalogSection(2.16.840.1.113883.10.20.6.1.1),,,R2 (SHOULD)Ê(CONF:15141),,,,,,,
DischargeDietSection(1.3.6.1.4.1.19376.1.5.3.1.3.33),,,,O (MAY)Ê(CONF:9558),,,,,,
EncountersSection(2.16.840.1.113883.10.20.22.2.22.1),,O (MAY)Ê(CONF:9457),,,,,,,,
EncountersSectionEntriesOptional(2.16.840.1.113883.10.20.22.2.22),,,,,,,,,,
FamilyHistorySection(2.16.840.1.113883.10.20.22.2.15),O (MAY)Ê(CONF:9513),O (MAY)Ê(CONF:9459),,O (MAY)Ê(CONF:9560),,R (SHALL)Ê(CONF:9615),,O (MAY)Ê(CONF:9817),,
FindingsSection(2.16.840.1.113883.10.20.6.1.2),,,R (SHALL)Ê(CONF:8776),,,,,,,
FunctionalStatusSection(2.16.840.1.113883.10.20.22.2.14),,O (MAY)Ê(CONF:9461),,O (MAY)Ê(CONF:9562),,,,,,
GeneralStatusSection(2.16.840.1.113883.10.20.2.5),O (MAY)Ê(CONF:9515),,,,,R (SHALL)Ê(CONF:9617),,,,
